id,nome_fantasia,qtd_campanhas
451,COMUNET INTERNET BANDA LARGA,6628
400,FJTEC ,597
435,FOXCONECT,662
104,GC Net,14309
174,TRX NET ,400
403,WORLDNET,1959
401,ZUM TELECOM,1182
61,Ativa Network,6917
21,BDC Telecom,4375
101,Infox BM,2801
76,LinkNet Internet ,2367
13,MICRORCIM TELECOM,7946
28,MUNDONET TELECOM,10543
33,TASS NETWORKS,13675
32,TEX TELECOM,169
109,Blufibra,4408
111,Evo Fibra Internet,2482
103,MEGANETS,3567
115,NAVEGMAIS,2053
106,Netway,23128
108,RedeSub,6267
112,Régis Informática,587
107,Speed Travel Telecom,20319
114,Ti.Net,1294
105,Tsunami Fibra,277
118,ArealNet,2100
133,DIGITAL TELECOM,2457
126,Edosnet ,674
120,IOL Rede De Provedores,11139
132,MEGA REDES TELECOM,55
129,NOVA ERA FIBRA,2959
116,ONLINK TELECOM,692
141,SigaOn+,228
121,SPOTNET,3721
136,Teleturbo,30715
155,D-Kiros Internet ,3957
142,JR NET,1540
151,NEOfibra,107
146,NetCanes Fibra,937
154,Portal Net Telecom,5118
147,Tokfibra,5177
148,Top Web,7441
143,TOPNET,1308
153,Tubaron,11992
152,Upnet Telecom,5311
182,Acelera,1514
156,Alternativa,16162
175,Città Telecom,8107
173,Conecte Marechal,630
164,DBS TELECOM,902
185,Faiser Telecomunicações ,16905
176,Netfull Telecomunicações ,1102
184,QERO TELECOMUNICAÇÕES,1
168,TorresNet,977
167,WebNet,939
209,4CJ,255
208,Agility Brejo Santo,235
197,ConexaoBA,3145
188,Regional Telecom,2593
206,SEABANT,148
193,Smart Soluções ,6978
207,Voe Telecom,2852
218,Cianet telecom,1388
231,CONECTSUL ,10007
212,DBNET,1476
230,Infoworld Telecomunicações,568
222,Master Data Telecomunicações Ltda,530
217,MSLIVE,661
223,NAVIX TELECOM,9910
215,Play Mais,1349
227,Tel3 Telecom,3651
251,BRASIL DIGITAL TELECOM,31140
245,CYBER INTERNET ,1634
246,GSG TELECOM,5127
233,LCD DIGITAL,459
237,MGN FIBRA ,1561
238,NETKOM,146
240,RL NET Internet,1248
235,Velnet Telecom,5583
242,Vem pra Uno,10234
250,WEBLINK,5941
261,AROBANET,624
272,E-NET Brasil,2
253,FLASHNET,2084
257,FUTURETEC,480
276,GB Online,24393
256,INFORNET,4884
269,LINK NET BA,898
279,M2 Ultra Fibra,6061
277,ONNEXX,5520
264,ULTRANET,5486
297,ACESSO FIBRA,4525
298,GUARATIBANET,2458
283,Login Internet,2714
293,MUNDIAL TELECOM,15654
299,NETPRIME | PORTO ,2967
294,PC NET,584
289,SEANET TELECOM,3219
307,Cosmo Telecom,466
313,FIBRACONN,4233
311,I5 telecom,5342
305,Ipnet Telecom,50536
301,NETPRIME ,1692
300,NETPRIME | PARAÍSO,6161
310,NETZON,13240
312,PONTO WIFI,1115
304,RONDONET TELECOM,9114
333,Grafnet LTDA,1984
332,Litoral Telecom,4193
322,Master Telecom,690
329,Narayana o Provedor,8957
325,Netgool Telecomunicações,1137
326,POWER FIBRA TELECOMUNICAÇÕES,350
320,Siga Fibra,15448
323,Voanet,16837
342,BestNet Fibra,1369
341,BRASIL DIGITAL,315
335,CVS INTERNET,15795
347,Dinamica Telecom,1190
350,DWNET ,852
334,Maxxnet,1055
349,Mundo Voa,22252
338,Prestek Telecom,3113
344,RA INTERNET,357
345,Shownet Telecom,1088
353,Chaves Net,1983
352,CVS INTERNET,5619
38,Mais Banda Larga Telecom,1748
382,MICROLINK ,192
377,NETCENTER FIBRA,1229
357,SI NET,3056
380,VCONNECT TELECOM,3443
418,ATUAL INTERNET,14430
409,CLICK CONNECTION,3345
392,EMPRESA,14776
407,FUTEL TELECOM,3909
417,GIGAFLEX FIBRA,3982
408,ILHA CONNECT TELECOM,514
42,ITANET,8
395,MUNDIAL STATION INFORMATICA,2262
39,Viunet,616
427,A2 TELECOM,150
431,AIPEER TECNOLOGIA,1283
447,E+ NET TELECOM (EDUARDO-NET),14
440,GRUPO BRASIL LIKE,2713
424,LINK EXPLORER,7956
444,LITORAL NET,233
421,PKNET,7415
443,PROFIBER TELECOM,1321
423,RIOS NETWORK,1232
458,BARINET,61
465,DINAMICA TELECOM,92
471,GIGALINK,346
449,Grupo NET,371
452,RUZZA TELECOMUNICACOES,125
470,SMARSUL CONECT FREY,1613
49,Agility Itabaiana,1808
484,AGTNET,3557
491,CAWEB,2816
494,DigConnect,260
475,iNEW,1505
487,POXLEY PROVEDOR,1758
477,TEMPERNET TELECOM,8101
488,VNT INTERNET,2360
489,WSNET,32
499,AVANZA TELECOM,2047
498,BR SUPER,52
500,CONECTA,6995
501,FIBRA PLUS,1681
504,MAIS FIBRA,3339
503,PROVEDOR CONECT,4076
497,PROVERNET,433
51,Acessy Fibra,34803
524,CARIAP BUSINESS,17
526,IPLAY! TELECOM,292
527,iProntoMax,216
512,LIGEIRA TELECOM,2735
52,Mais Internet,13278
513,MELNET,728
516,ONLINE.NET,977
530,V7 TELECOM,296
59,SGV TELECOM,9200
60,Innova Internet,9004
74,D-kiros Internet ,1495
67,JCS FIBRA,495
69,Mais Net ,9413
75,NetFlux Internet,1875
78,NetGlória Internet,1362
73,Turbonet Telecom,8063
97,Conecta Fibra,5643
93,i9 Fibra,40
85,Netvale,763
90,Panda Internet Fibra,2487
95,SALES TELECOM,1745
88,Scon Fibras,2644
91,SS Fiber Telecom,10674
89,TS Net Telecom,493
92,TurboNetwork,3239
82,Wi-Net,6773
98,OXENTE NET,6
